started_at,resolved_at,market_id,side,duration_ms,tau_at_start_sec
2026-07-30T06:51:46.094Z,2026-07-30T06:51:49.302Z,btc5m1785394303963,yes,3208,297.9
2026-07-30T06:51:46.094Z,2026-07-30T06:51:49.302Z,btc5m1785394303963,no,3208,297.9
2026-07-30T06:52:00.947Z,2026-07-30T06:52:02.556Z,btc5m1785394303963,yes,1609,283.0
2026-07-30T06:52:00.947Z,2026-07-30T06:52:02.556Z,btc5m1785394303963,no,1609,283.0
2026-07-30T06:52:06.965Z,2026-07-30T06:52:08.968Z,btc5m1785394303963,yes,2003,277.0
2026-07-30T06:52:06.965Z,2026-07-30T06:52:08.968Z,btc5m1785394303963,no,2003,277.0
2026-07-30T06:52:27.585Z,2026-07-30T06:52:43.665Z,btc5m1785394303963,yes,16080,256.4
2026-07-30T06:52:27.182Z,2026-07-30T06:52:43.665Z,btc5m1785394303963,no,16483,256.8
2026-07-30T06:52:52.904Z,2026-07-30T06:52:54.908Z,btc5m1785394303963,yes,2004,231.1
2026-07-30T06:52:53.310Z,2026-07-30T06:52:54.908Z,btc5m1785394303963,no,1598,230.7
2026-07-30T06:53:04.941Z,2026-07-30T06:53:06.543Z,btc5m1785394303963,yes,1602,219.0
2026-07-30T06:53:04.941Z,2026-07-30T06:53:06.543Z,btc5m1785394303963,no,1602,219.0
2026-07-30T06:53:07.349Z,2026-07-30T06:53:08.149Z,btc5m1785394303963,yes,800,216.6
2026-07-30T06:53:07.349Z,2026-07-30T06:53:08.149Z,btc5m1785394303963,no,800,216.6
2026-07-30T06:53:23.816Z,2026-07-30T06:53:29.030Z,btc5m1785394303963,yes,5214,200.1
2026-07-30T06:53:23.816Z,2026-07-30T06:53:29.030Z,btc5m1785394303963,no,5214,200.1
2026-07-30T06:53:56.311Z,2026-07-30T06:53:57.123Z,btc5m1785394303963,yes,812,167.7
2026-07-30T06:53:55.914Z,2026-07-30T06:53:57.123Z,btc5m1785394303963,no,1209,168.0
2026-07-30T06:54:01.923Z,2026-07-30T06:54:02.325Z,btc5m1785394303963,yes,402,162.0
2026-07-30T06:54:01.923Z,2026-07-30T06:54:02.325Z,btc5m1785394303963,no,402,162.0
2026-07-30T06:54:23.241Z,2026-07-30T06:54:23.642Z,btc5m1785394303963,yes,401,140.7
2026-07-30T06:54:23.241Z,2026-07-30T06:54:23.642Z,btc5m1785394303963,no,401,140.7
2026-07-30T06:54:25.254Z,2026-07-30T06:54:28.857Z,btc5m1785394303963,yes,3603,138.7
2026-07-30T06:54:24.845Z,2026-07-30T06:54:28.857Z,btc5m1785394303963,no,4012,139.1
2026-07-30T06:54:38.085Z,2026-07-30T06:54:40.484Z,btc5m1785394303963,yes,2399,125.9
2026-07-30T06:54:38.085Z,2026-07-30T06:54:40.484Z,btc5m1785394303963,no,2399,125.9
2026-07-30T06:54:52.943Z,2026-07-30T06:54:53.345Z,btc5m1785394303963,yes,402,111.0
2026-07-30T06:54:52.943Z,2026-07-30T06:54:53.345Z,btc5m1785394303963,no,402,111.0
2026-07-30T06:54:56.171Z,2026-07-30T06:54:56.978Z,btc5m1785394303963,yes,807,107.8
2026-07-30T06:54:56.171Z,2026-07-30T06:54:56.978Z,btc5m1785394303963,no,807,107.8
2026-07-30T06:54:59.452Z,2026-07-30T06:55:01.847Z,btc5m1785394303963,yes,2395,104.5
2026-07-30T06:54:59.452Z,2026-07-30T06:55:01.847Z,btc5m1785394303963,no,2395,104.5
2026-07-30T06:55:11.069Z,2026-07-30T06:55:11.469Z,btc5m1785394303963,yes,400,92.9
2026-07-30T06:55:11.069Z,2026-07-30T06:55:11.469Z,btc5m1785394303963,no,400,92.9
2026-07-30T06:55:23.555Z,2026-07-30T06:55:23.939Z,btc5m1785394303963,yes,384,80.4
2026-07-30T06:55:23.555Z,2026-07-30T06:55:23.939Z,btc5m1785394303963,no,384,80.4
2026-07-30T06:55:25.148Z,2026-07-30T06:55:26.745Z,btc5m1785394303963,yes,1597,78.8
2026-07-30T06:55:25.148Z,2026-07-30T06:55:26.745Z,btc5m1785394303963,no,1597,78.8
2026-07-30T06:55:35.181Z,2026-07-30T06:55:35.565Z,btc5m1785394303963,yes,384,68.8
2026-07-30T06:55:35.181Z,2026-07-30T06:55:35.565Z,btc5m1785394303963,no,384,68.8
2026-07-30T06:55:41.188Z,2026-07-30T06:55:42.389Z,btc5m1785394303963,yes,1201,62.8
2026-07-30T06:55:41.188Z,2026-07-30T06:55:42.389Z,btc5m1785394303963,no,1201,62.8
2026-07-30T06:55:44.004Z,2026-07-30T06:55:44.395Z,btc5m1785394303963,yes,391,60.0
2026-07-30T06:55:44.004Z,2026-07-30T06:55:44.395Z,btc5m1785394303963,no,391,60.0
2026-07-30T06:55:50.009Z,2026-07-30T06:55:52.659Z,btc5m1785394303963,yes,2650,54.0
2026-07-30T06:55:51.051Z,2026-07-30T06:55:52.659Z,btc5m1785394303963,no,1608,52.9
2026-07-30T06:55:59.068Z,2026-07-30T06:55:59.469Z,btc5m1785394303963,yes,401,44.9
2026-07-30T06:55:59.068Z,2026-07-30T06:55:59.469Z,btc5m1785394303963,no,401,44.9
