ts,ticker,close_time,secs_to_close,floor_strike,yes_bid,yes_ask,yes_mid,spread_c,yes_bid_size,yes_ask_size,last_price,volume,open_interest,btc_spot
2026-07-31T08:03:54.159+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,665,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:03:59.107+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,660,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:04:04.084+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,655,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:04:11.766+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,648,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:04:14.062+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,645,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:04:19.043+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,640,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:04:24.007+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,635,63893.36,0.45,0.46,0.455,1.0,7725.02,56.00,0.4600,422092.83,163370.05,
2026-07-31T08:04:29.014+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,630,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:04:34.057+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,625,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:04:39.006+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,620,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:04:45.085+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,614,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:04:51.562+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,608,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:04:55.043+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,604,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:05:00.052+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,599,63893.36,0.5,0.51,0.505,1.0,1401.11,1627.38,0.5100,460816.21,173822.47,
2026-07-31T08:05:04.140+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,595,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,
2026-07-31T08:05:11.199+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,588,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,63935.72
2026-07-31T08:05:15.172+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,584,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,63930.0
2026-07-31T08:05:22.980+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,577,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,63930.0
2026-07-31T08:05:25.184+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,574,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,63930.0
2026-07-31T08:05:32.961+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,567,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,63930.0
2026-07-31T08:05:35.343+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,564,63893.36,0.43,0.44,0.435,1.0,1469.13,2554.82,0.4300,488141.96,183529.27,63933.98
2026-07-31T08:05:40.288+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,559,63893.36,0.36,0.37,0.365,1.0,598.56,2062.66,0.3600,540917.57,191439.54,63933.97
2026-07-31T08:05:46.142+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,553,63893.36,0.36,0.37,0.365,1.0,598.56,2062.66,0.3600,540917.57,191439.54,63932.62
2026-07-31T08:05:50.250+00:00,KXBTC15M-26JUL310415-15,2026-07-31T08:15:00Z,549,63893.36,0.36,0.37,0.365,1.0,598.56,2062.66,0.3600,540917.57,191439.54,63932.63
